continent,education_of_employee,has_job_experience,requires_job_training,no_of_employees,yr_of_estab,region_of_employment,unit_of_wage,full_time_position,wage_range
Asia,Bachelor's,N,N,3037,1927,Midwest,Year,Y,50000-100000
Europe,Doctorate,Y,N,802,1900,Northeast,Year,Y,< 50000
Asia,Master's,N,Y,1373,1919,South,Year,Y,< 50000
Asia,Master's,Y,Y,1862,1997,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,1006,2009,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1231,2009,Midwest,Year,Y,50000-100000
Europe,Bachelor's,Y,N,394,1995,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1437,2006,Northeast,Year,Y,> 100000
Asia,High School,N,N,3886,2009,South,Year,Y,50000-100000
Asia,Master's,Y,N,288,1999,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,3244,1946,South,Year,Y,> 100000
Asia,Master's,Y,N,683,1987,South,Year,Y,50000-100000
Europe,Doctorate,N,N,3262,1977,Northeast,Year,Y,< 50000
Europe,Bachelor's,Y,N,375,2000,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,N,3062,2003,West,Year,Y,> 100000
North America,Bachelor's,Y,N,2980,2012,Northeast,Year,Y,< 50000
Asia,Master's,N,N,1661,1933,South,Year,Y,> 100000
North America,Master's,Y,N,3330,2001,South,Year,N,< 50000
Asia,Master's,Y,N,813,1992,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,772,1874,West,Year,Y,< 50000
Asia,High School,Y,N,602,1999,Northeast,Year,Y,> 100000
North America,Master's,N,N,16222,1928,West,Year,Y,> 100000
Asia,Master's,Y,N,105,1951,Northeast,Year,Y,> 100000
Asia,High School,Y,N,2876,1992,West,Year,Y,< 50000
North America,Master's,Y,N,1749,1855,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,N,2195,1996,Northeast,Year,Y,> 100000
Asia,High School,Y,N,1454,1997,Island,Year,Y,50000-100000
Asia,Bachelor's,Y,N,89379,1999,South,Year,Y,50000-100000
Asia,Master's,Y,N,467,1953,Midwest,Year,Y,50000-100000
Asia,High School,N,N,203,1998,South,Year,Y,50000-100000
Asia,Master's,Y,N,2897,1989,Midwest,Year,N,< 50000
Asia,Master's,Y,N,96042,1839,Northeast,Year,Y,< 50000
South America,Bachelor's,Y,N,1721,1947,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,137,1993,South,Year,Y,< 50000
Asia,Master's,Y,N,1963,1999,West,Year,Y,< 50000
Europe,Bachelor's,Y,N,1673,1950,South,Year,Y,< 50000
North America,Bachelor's,Y,N,2698,2000,Northeast,Hour,Y,50000-100000
Asia,Bachelor's,N,N,1599,1885,West,Year,Y,< 50000
North America,Bachelor's,Y,N,28,2003,South,Year,Y,> 100000
Europe,Bachelor's,Y,Y,59,1995,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,2259,2004,South,Year,Y,50000-100000
North America,Bachelor's,N,N,4147,1887,Northeast,Week,Y,50000-100000
Asia,High School,Y,N,5367,2002,South,Year,N,50000-100000
Asia,Master's,Y,N,5202,1994,Midwest,Year,Y,50000-100000
North America,High School,Y,N,2280,1989,Midwest,Year,Y,50000-100000
North America,Bachelor's,Y,N,4545,1996,Northeast,Year,Y,> 100000
Europe,High School,N,Y,1164,1985,West,Year,Y,< 50000
Asia,Bachelor's,Y,Y,1251,1939,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,604,2001,West,Year,Y,< 50000
Asia,Master's,N,N,2298,1976,West,Year,Y,50000-100000
North America,Bachelor's,N,N,1247,1972,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,3146,2008,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,709,2008,West,Year,Y,> 100000
Asia,Master's,Y,N,80,1973,West,Hour,Y,< 50000
Asia,Bachelor's,N,N,1546,1983,West,Year,Y,< 50000
Asia,Bachelor's,N,N,1335,1999,Northeast,Year,Y,< 50000
North America,Master's,N,N,3323,2007,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,19619,1981,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,2601,2004,Northeast,Year,Y,< 50000
Europe,Doctorate,Y,N,1796,1887,South,Year,Y,50000-100000
Asia,Master's,N,N,3560,1997,Northeast,Year,N,50000-100000
Asia,Bachelor's,Y,N,4509,1958,South,Year,N,> 100000
Asia,Master's,N,Y,9488,1979,West,Year,Y,50000-100000
North America,Bachelor's,Y,N,2539,2004,South,Year,Y,> 100000
Asia,Bachelor's,N,N,2378,2000,South,Year,Y,50000-100000
Europe,Master's,N,N,772,2000,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,906,2004,Midwest,Year,Y,< 50000
Oceania,Master's,N,N,2733,1975,Northeast,Year,Y,50000-100000
Oceania,Master's,N,Y,487,2008,West,Year,Y,50000-100000
Asia,Master's,N,N,1603,1999,Midwest,Year,Y,50000-100000
Asia,High School,N,N,873,1996,Midwest,Year,Y,> 100000
Asia,High School,N,N,3445,2011,South,Year,Y,> 100000
Asia,Master's,N,N,2527,1998,South,Year,Y,50000-100000
North America,Master's,N,Y,2054,2005,West,Year,Y,> 100000
Asia,Bachelor's,N,N,390,2009,West,Year,Y,> 100000
Europe,Bachelor's,N,N,2612,1969,South,Year,Y,50000-100000
North America,Master's,N,N,3051,2005,Northeast,Year,Y,> 100000
Asia,Master's,Y,Y,8780,1846,South,Year,Y,50000-100000
North America,Master's,N,N,77,2012,South,Year,N,> 100000
Africa,Doctorate,Y,N,17711,1870,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,1491,1990,West,Year,Y,> 100000
Asia,Bachelor's,N,N,542,1963,Northeast,Year,Y,50000-100000
Asia,High School,N,Y,1199,2009,West,Hour,Y,< 50000
Asia,Master's,Y,N,25219,2014,South,Year,Y,< 50000
Asia,Master's,N,N,5037,1869,Midwest,Week,Y,> 100000
Asia,High School,Y,N,335,1855,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,1431,1931,South,Year,Y,> 100000
Oceania,Master's,N,N,3949,1884,South,Year,Y,> 100000
North America,High School,N,Y,2561,2014,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,3918,2002,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1088,2005,Northeast,Year,Y,50000-100000
North America,Master's,Y,N,4073,1980,Northeast,Hour,Y,50000-100000
Europe,Bachelor's,Y,N,5582,1996,South,Year,Y,50000-100000
North America,Master's,Y,N,986,1986,Northeast,Year,Y,> 100000
Asia,Doctorate,Y,N,10449,1976,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,1686,2006,Midwest,Year,Y,> 100000
North America,Bachelor's,N,N,3065,1855,Northeast,Hour,Y,> 100000
Asia,High School,Y,N,854,1994,South,Year,Y,50000-100000
Europe,Bachelor's,Y,N,197,1998,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,86,1884,West,Year,Y,< 50000
Asia,Bachelor's,Y,Y,3013,1991,South,Year,Y,50000-100000
Asia,Master's,Y,N,11658,2007,South,Year,Y,> 100000
Asia,Master's,N,N,729,2004,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,Y,231,1969,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3268,2002,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,680,1995,Northeast,Year,Y,< 50000
Asia,Doctorate,N,Y,1659,1936,West,Year,Y,> 100000
Asia,Master's,Y,N,20942,1918,Northeast,Year,N,50000-100000
North America,Master's,N,N,2782,2003,Northeast,Year,Y,< 50000
North America,Master's,N,N,3627,1962,South,Year,N,< 50000
Asia,Bachelor's,Y,N,1648,2005,South,Hour,Y,50000-100000
Asia,Master's,Y,N,3159,2006,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,1297,2007,Northeast,Year,Y,50000-100000
Europe,Doctorate,N,N,1617,1965,West,Year,Y,50000-100000
Asia,Master's,N,N,4314,1968,Northeast,Year,Y,50000-100000
Asia,High School,Y,Y,2486,1999,South,Year,Y,< 50000
North America,Bachelor's,Y,Y,4490,1970,South,Year,Y,> 100000
Europe,Bachelor's,N,N,3889,1976,West,Year,Y,< 50000
Europe,Bachelor's,N,N,211,1911,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,882,1947,Midwest,Week,Y,> 100000
Asia,Bachelor's,N,N,1953,2009,Northeast,Hour,Y,< 50000
Asia,High School,Y,N,1799,1999,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,4527,2004,Midwest,Year,Y,50000-100000
North America,High School,N,N,1423,2006,Midwest,Year,N,> 100000
Asia,Master's,N,N,2726,1838,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,10273,1987,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,2374,2008,Northeast,Year,Y,< 50000
Asia,Master's,N,N,1450,1838,South,Hour,Y,> 100000
North America,Master's,N,N,5013,1941,South,Year,Y,> 100000
North America,Master's,Y,N,1267,2006,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,1522,1983,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,3063,1838,Island,Year,Y,> 100000
Asia,Master's,N,N,782,1992,Midwest,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3935,1963,Northeast,Year,Y,50000-100000
North America,Doctorate,N,Y,1591,1998,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,884,2007,West,Year,Y,< 50000
North America,Master's,Y,N,1588,1950,South,Year,Y,< 50000
Asia,Bachelor's,N,N,1168,1995,West,Hour,Y,< 50000
Asia,Bachelor's,Y,N,1441,2012,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,48681,1855,South,Year,Y,50000-100000
Asia,Master's,Y,N,128431,1991,West,Year,Y,> 100000
Europe,High School,N,N,1649,1999,West,Year,Y,50000-100000
Asia,Master's,Y,N,4764,1976,South,Year,N,< 50000
Asia,Bachelor's,Y,N,27,1887,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,3105,1919,West,Year,Y,50000-100000
Europe,High School,Y,Y,949,1986,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,2956,2009,Midwest,Year,Y,50000-100000
South America,Master's,Y,Y,2488,1977,West,Year,Y,< 50000
Asia,Bachelor's,N,N,826,1994,Northeast,Year,Y,> 100000
Europe,Bachelor's,Y,N,1407,2000,Northeast,Hour,Y,> 100000
North America,Doctorate,N,N,4581,1849,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,2214,2008,Midwest,Year,Y,> 100000
Asia,High School,Y,Y,1845,1973,South,Year,Y,50000-100000
Asia,High School,Y,N,2438,1976,Midwest,Year,Y,< 50000
Asia,Bachelor's,N,N,2467,2004,South,Year,Y,50000-100000
Asia,High School,Y,N,3291,2008,South,Year,Y,50000-100000
North America,High School,Y,N,1910,2007,Northeast,Year,Y,> 100000
Asia,Bachelor's,N,N,3816,2005,South,Year,N,> 100000
Asia,Master's,Y,N,5266,2008,West,Year,Y,< 50000
North America,High School,Y,N,3245,1953,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,526,1998,South,Year,Y,50000-100000
Asia,High School,Y,N,1234,2004,South,Year,Y,> 100000
Asia,Master's,N,N,1713,1995,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,732,1937,Northeast,Year,N,50000-100000
North America,Master's,Y,N,109163,1973,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,1227,1979,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,Y,7105,2004,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,1341,2005,South,Year,N,> 100000
Asia,Bachelor's,N,N,1986,2001,Northeast,Year,Y,> 100000
North America,Master's,Y,N,5336,1997,West,Year,Y,50000-100000
Asia,Master's,Y,N,6361,1999,Northeast,Year,Y,< 50000
Asia,Master's,Y,N,3805,1999,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,1470,1986,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,140,1998,Midwest,Year,Y,< 50000
Europe,Bachelor's,N,Y,4255,2010,West,Year,Y,< 50000
Asia,Master's,N,Y,3376,1974,South,Year,Y,> 100000
Europe,Bachelor's,Y,N,2096,1965,South,Hour,Y,< 50000
South America,High School,Y,N,25971,1968,South,Year,Y,< 50000
Asia,Bachelor's,N,N,4488,1998,South,Year,Y,> 100000
Asia,Bachelor's,N,N,1696,2011,Midwest,Year,Y,50000-100000
Asia,Bachelor's,N,N,5110,1997,Northeast,Year,Y,< 50000
Asia,High School,N,N,1469,2006,West,Year,Y,50000-100000
Asia,Master's,N,N,2373,1992,Midwest,Year,Y,< 50000
Europe,Master's,Y,N,1552,1998,West,Year,Y,50000-100000
Asia,Master's,Y,N,1963,2008,West,Year,Y,> 100000
Asia,Bachelor's,Y,N,2481,1987,West,Year,Y,> 100000
Asia,Master's,N,N,3208,2001,South,Year,Y,50000-100000
Oceania,High School,Y,N,3674,1950,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,2899,1981,Northeast,Year,Y,> 100000
Asia,Bachelor's,Y,N,2652,2007,Northeast,Year,N,> 100000
Asia,Master's,N,Y,839,2005,West,Year,Y,< 50000
Europe,Doctorate,Y,N,3094,1899,South,Year,Y,> 100000
Asia,Master's,Y,N,1839,1998,South,Year,Y,50000-100000
Asia,Master's,N,N,3380,1965,South,Year,N,> 100000
Asia,Bachelor's,N,N,2149,1995,South,Year,Y,50000-100000
Europe,Master's,Y,N,2652,2005,West,Year,Y,< 50000
South America,Bachelor's,Y,N,66948,2000,West,Hour,Y,> 100000
North America,Bachelor's,N,N,3018,1920,Northeast,Hour,Y,< 50000
North America,Bachelor's,Y,N,3367,1966,Midwest,Year,Y,< 50000
North America,Bachelor's,Y,N,14,1980,West,Hour,Y,> 100000
Africa,Bachelor's,Y,N,1067,2013,West,Year,N,< 50000
Asia,High School,N,Y,159,1977,South,Year,Y,> 100000
Asia,Bachelor's,N,N,2129,1994,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,2074,2004,Midwest,Year,Y,> 100000
Asia,Bachelor's,N,N,1166,2003,South,Year,Y,> 100000
Europe,Bachelor's,N,N,3986,2000,West,Year,Y,< 50000
Asia,High School,N,N,12386,1988,West,Hour,Y,< 50000
Asia,Master's,N,N,151150,1984,South,Year,N,50000-100000
Asia,Master's,Y,N,1056,2013,Northeast,Year,Y,50000-100000
Asia,Bachelor's,N,N,2584,1973,West,Year,Y,50000-100000
North America,Master's,Y,N,3710,1988,Northeast,Year,Y,< 50000
Asia,Master's,N,N,1939,2008,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,795,2012,South,Year,Y,> 100000
Europe,Doctorate,N,N,3305,1999,Northeast,Year,Y,50000-100000
Europe,Bachelor's,N,N,2682,2008,West,Year,Y,50000-100000
Europe,Master's,N,N,3977,1960,West,Year,Y,50000-100000
South America,Bachelor's,Y,N,1289,1996,South,Year,Y,< 50000
Asia,Master's,Y,N,2729,1996,Midwest,Year,Y,50000-100000
Europe,Master's,N,Y,327,1994,South,Year,Y,50000-100000
North America,Bachelor's,Y,N,47094,1838,South,Year,Y,< 50000
Asia,Doctorate,Y,N,2505,1990,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,272,2005,South,Hour,Y,< 50000
Asia,Bachelor's,N,N,1769,1969,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,Y,1608,1998,Midwest,Year,Y,< 50000
Asia,Master's,N,N,1970,1974,South,Year,Y,> 100000
Asia,Master's,Y,N,1529,2009,South,Year,Y,> 100000
North America,Doctorate,N,N,1178,2007,Midwest,Year,Y,< 50000
South America,High School,Y,N,1818,1998,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,1538,2008,South,Year,Y,50000-100000
Asia,High School,N,Y,429,1963,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,2939,2001,Northeast,Year,Y,< 50000
Asia,Bachelor's,N,N,1632,2005,Midwest,Year,Y,> 100000
Asia,Bachelor's,N,N,19024,2005,South,Year,Y,> 100000
Asia,Master's,Y,N,1972,1991,South,Year,Y,< 50000
Europe,Bachelor's,N,N,467,1995,Midwest,Year,Y,50000-100000
Asia,Master's,Y,N,3149,1997,Midwest,Year,Y,< 50000
Africa,Master's,N,N,2942,2011,Northeast,Year,Y,< 50000
North America,Master's,N,N,3053,1974,Midwest,Year,N,> 100000
Asia,Bachelor's,Y,N,541,2008,South,Year,Y,50000-100000
Asia,Master's,Y,N,2909,1998,Midwest,Year,Y,> 100000
Asia,Bachelor's,N,N,3538,2002,West,Year,Y,> 100000
North America,Doctorate,N,N,4731,2008,Island,Year,Y,50000-100000
Europe,Bachelor's,Y,N,3759,2001,South,Year,Y,50000-100000
Asia,High School,Y,N,304,2004,Northeast,Year,Y,> 100000
Asia,Doctorate,N,Y,3644,2001,West,Year,Y,50000-100000
North America,Bachelor's,N,N,1783,1856,Northeast,Year,Y,> 100000
Europe,Master's,Y,N,3180,2003,Northeast,Year,Y,> 100000
North America,Bachelor's,N,Y,5718,2003,South,Year,Y,> 100000
Africa,Bachelor's,Y,N,6081,2009,Northeast,Year,Y,> 100000
Asia,Bachelor's,N,N,2805,2010,South,Year,Y,50000-100000
Europe,Doctorate,Y,N,3524,1978,West,Year,Y,50000-100000
Europe,Doctorate,Y,N,517,1999,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,4226,2010,West,Year,Y,50000-100000
Europe,Bachelor's,Y,N,1235,1946,West,Year,Y,> 100000
Asia,Master's,Y,N,1439,1987,Northeast,Year,Y,> 100000
North America,Master's,N,N,3922,1988,Northeast,Year,Y,> 100000
Asia,Master's,N,N,2916,1963,West,Year,Y,< 50000
North America,Bachelor's,N,N,1999,2001,Northeast,Hour,Y,50000-100000
Asia,Bachelor's,Y,N,303,1998,South,Year,Y,50000-100000
Asia,Bachelor's,N,N,2663,1996,Northeast,Year,Y,< 50000
North America,Bachelor's,N,N,1023,1988,Midwest,Hour,Y,> 100000
North America,Master's,Y,N,2712,1999,South,Year,N,50000-100000
North America,Bachelor's,Y,N,4236,2001,South,Year,Y,> 100000
Europe,Bachelor's,N,N,483,2007,West,Hour,Y,> 100000
Europe,Master's,Y,N,1262,1997,West,Year,Y,< 50000
North America,Bachelor's,Y,N,1500,1999,South,Year,Y,50000-100000
North America,Master's,Y,N,428773,2004,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,542,1970,Midwest,Year,Y,> 100000
Asia,Master's,Y,N,2472,1991,West,Year,Y,50000-100000
Asia,Master's,N,Y,2156,1970,South,Year,Y,50000-100000
Africa,Master's,Y,N,3998,2000,Northeast,Hour,Y,< 50000
Asia,Bachelor's,Y,N,5371,1994,Midwest,Year,Y,< 50000
North America,Bachelor's,Y,N,416,2010,South,Year,Y,< 50000
Asia,High School,Y,N,2845,2009,West,Year,Y,< 50000
South America,Doctorate,Y,N,106,2006,Northeast,Year,Y,< 50000
Europe,Master's,N,N,4895,1997,South,Year,Y,50000-100000
Asia,High School,N,N,3161,2007,Northeast,Year,Y,> 100000
Europe,Master's,N,N,3709,1919,Northeast,Hour,Y,> 100000
Asia,Master's,Y,N,5660,1855,Northeast,Year,N,< 50000
Asia,Master's,Y,N,190,2000,West,Year,N,50000-100000
Asia,Bachelor's,Y,N,1771,1934,Northeast,Year,Y,< 50000
Europe,Master's,Y,N,3426,1998,South,Hour,Y,< 50000
Asia,Master's,N,N,125501,1974,Northeast,Year,N,> 100000
Asia,Master's,Y,N,218,1984,Northeast,Year,Y,50000-100000
Europe,Bachelor's,N,N,2000,2006,West,Year,Y,50000-100000
Asia,Master's,Y,N,1321,1984,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,3729,2007,Midwest,Year,Y,> 100000
Europe,Doctorate,Y,N,1822,2005,West,Year,Y,50000-100000
Asia,Bachelor's,Y,N,677,1990,West,Year,Y,< 50000
Asia,High School,Y,N,4032,2007,South,Year,Y,> 100000
Asia,Bachelor's,Y,N,1322,1985,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,19230,2010,Midwest,Year,Y,50000-100000
Europe,Bachelor's,N,N,1286,2003,West,Year,Y,> 100000
North America,Bachelor's,Y,N,737,2003,South,Year,Y,< 50000
Europe,Master's,Y,N,1656,2005,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,470,1824,Northeast,Week,Y,50000-100000
Asia,Master's,Y,N,1467,2011,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,1232,1996,Northeast,Year,Y,50000-100000
Asia,Master's,Y,Y,1165,1920,South,Year,Y,50000-100000
North America,High School,N,N,3031,1932,Northeast,Year,Y,50000-100000
Asia,Master's,N,N,5536,1995,West,Year,Y,50000-100000
Asia,Master's,N,N,781,1868,Northeast,Year,Y,50000-100000
Asia,Bachelor's,Y,N,505,2010,South,Year,Y,> 100000
Asia,Master's,N,N,1319,1889,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,4634,2008,Northeast,Year,N,< 50000
Asia,Bachelor's,Y,N,2760,2004,West,Year,Y,50000-100000
Asia,High School,Y,N,1136,2004,Northeast,Year,Y,50000-100000
Asia,High School,N,Y,2070,1997,South,Year,Y,50000-100000
Asia,High School,N,N,334,2000,Midwest,Year,Y,50000-100000
Europe,Master's,N,N,538,1968,West,Year,Y,> 100000
Asia,Master's,Y,N,666,1995,South,Year,N,50000-100000
North America,High School,Y,Y,2029,1832,Midwest,Year,Y,> 100000
Africa,Master's,Y,N,1885,1992,West,Year,Y,< 50000
Asia,Doctorate,Y,N,4225,1993,Northeast,Year,Y,< 50000
Asia,High School,Y,N,2862,1969,West,Year,Y,> 100000
Africa,Master's,Y,N,775,1951,Northeast,Year,Y,50000-100000
Europe,Master's,Y,N,227,2013,West,Year,Y,50000-100000
Asia,Master's,Y,N,5002,2000,South,Year,N,< 50000
Asia,Master's,N,N,1703,2003,Midwest,Year,Y,> 100000
Asia,Master's,N,N,2638,1932,Northeast,Year,Y,50000-100000
Asia,Master's,Y,N,2192,2006,Northeast,Year,Y,50000-100000
North America,Bachelor's,N,N,16356,2003,Northeast,Year,N,> 100000
Europe,Doctorate,Y,N,1458,2010,Midwest,Year,Y,> 100000
Asia,High School,N,N,1484,2001,South,Year,Y,< 50000
Europe,Doctorate,N,N,795,1962,Northeast,Year,Y,< 50000
Europe,Doctorate,N,N,3016,1987,West,Year,Y,50000-100000
Asia,Bachelor's,N,N,873,1911,West,Year,Y,50000-100000
Africa,Master's,Y,N,4506,1949,West,Month,Y,50000-100000
North America,Master's,N,N,17,2003,Northeast,Hour,Y,50000-100000
Asia,High School,Y,N,1728,1968,South,Year,Y,< 50000
Asia,Bachelor's,Y,N,3143,2000,Midwest,Year,Y,> 100000
Asia,High School,N,N,2248,1983,West,Hour,Y,> 100000
Asia,Master's,N,N,4137,1869,West,Year,Y,50000-100000
Asia,High School,Y,N,2981,2006,Northeast,Year,Y,> 100000
North America,Bachelor's,Y,N,5406,2014,Northeast,Week,Y,50000-100000
Europe,Bachelor's,Y,N,3881,2012,South,Year,Y,< 50000
Asia,Master's,N,Y,48,2008,West,Hour,Y,> 100000
Asia,High School,Y,N,1036,1976,West,Year,Y,< 50000
Asia,Master's,Y,N,1340,1997,South,Year,Y,50000-100000
North America,Master's,Y,N,3455,2001,Northeast,Year,N,> 100000
Asia,Master's,N,N,3331,2002,Northeast,Hour,Y,< 50000
South America,Master's,Y,N,4169,1999,Island,Year,Y,< 50000
Asia,Bachelor's,Y,Y,1946,1984,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,3723,2011,West,Year,Y,< 50000
South America,Master's,N,N,4763,2008,South,Year,N,50000-100000
Asia,Master's,Y,N,1358,2005,South,Year,Y,50000-100000
Asia,Bachelor's,Y,N,6245,2009,West,Week,Y,50000-100000
Asia,Bachelor's,Y,N,4312,2007,West,Year,Y,< 50000
Asia,Doctorate,Y,N,1977,2012,Northeast,Year,Y,> 100000
Asia,Master's,Y,N,794,2008,Midwest,Year,Y,> 100000
Asia,Bachelor's,Y,N,413,2009,Northeast,Hour,Y,50000-100000
Europe,Master's,N,N,103331,1983,West,Year,Y,< 50000
Asia,Bachelor's,Y,N,140948,1987,Northeast,Year,Y,< 50000
Asia,Bachelor's,Y,N,423,1981,South,Year,Y,< 50000
Europe,High School,Y,N,1808,1976,West,Year,Y,50000-100000
